product_name,brands,primary_category,sugars_100g,proteins_100g,fat_100g,fiber_100g,nutriscore_grade
Leffe,Leffe,Beverages,0.0,0.0,0.0,,not-applicable
Blanc de poulet zéro nitrites,Fleury  Michon,Meats,0.5,20.0,2.40000009536743,,unknown
Hafermilch,Oatly,Beverages,4.1,1.0,1.5,0.8,c
Proteinbar with lemon flavour,Herbalife,Snacks,30.0,28.0,12.0,0.0,not-applicable
Confit d'Oignons ou de figues,,Beverages,42.0,0.5,0.5,,d
Gluten free multigrain bread,Trader Joe's,Beverages,1.92766268382353,2.37644724264706,1.90959191176471,1.59743933823529,b
Peanut butter nut bar,Cliff,Snacks,10.0,7.0,11.0,3.0,unknown
Tiramisu cappuccino,mamie Nova,Dairy,21.0,3.9,14.0,,e
Sauce tomate provençale,,Sauces & Condiments,5.9,1.6,1.1,2.5,c
Fruit & Fibre,Morrisons,Beverages,16.189,0.4783,0.13975,0.7365,c
Pizzoccheri,,Beverages,2.1,5.3,5.2,,c
Chocolat noir sésame complet,Kaoka,Snacks,26.0,10.0,45.0,11.0,e
Filet de poulet rôti,,Meats,0.6,22.3,5.5,,b
Pois Chiches Bio,"Kazidomi, Nice",Beverages,0.0,4.3,1.3,4.5,a
Haricots Rouges Bio,Kazidomi,Beverages,0.0,4.4,0.3,5.8,a
Haricots Noirs Bio,Kazidomi,Beverages,0.0,4.1,0.6,5.1,b
Lentilles Brunes Bio,Kazidomi,Beverages,0.0,4.0,0.3,4.0,a
Petits Pois Verts Bio,Kazidomi,Beverages,0.0,4.8,0.3,4.1,a
Mortadelices a la provençale,Isla Délice,Meats,1.4,10.7,13.0,,d
Bacon de dinde,Isla délice,Meats,0.5,22.0,9.5,3.0,e
Mortadelle olives 10 tranches,Crystal,Meats,0.5,10.0,15.8,,e
Poulet,Halal,Meats,1.0,16.5,0.9,,d
Tranchés de dinde,,Meats,1.1,14.0,4.3,,e
Mousse de volaille,Isla Délice,Meats,1.4,10.6,21.6,,e
Luxury toasted muesli ancient grains & super fruits,Pam’s Finest,Beverages,19.0,12.3000001907349,12.8000001907349,10.3000001907349,unknown
